[worker] config = Config { broker_host: "localhost", broker_port: 1883, client_id: "snr-spike-rust-92890", topics: ["benchmark/#"], qos: 1, sqlite_db: "/private/tmp/snr-spike-c-rust.db", batch_size: 500, flush_ms: 200 }
[worker] MQTT connected — startup=0ms topics=["benchmark/#"]
[worker] reconnected to broker
[inserter] committed=45 batches=20 tps=140/s commit=0ms
[inserter] committed=86 batches=40 tps=266/s commit=0ms
[inserter] committed=122 batches=60 tps=376/s commit=0ms
[inserter] committed=172 batches=80 tps=526/s commit=0ms
[inserter] committed=214 batches=100 tps=647/s commit=0ms
[inserter] committed=290 batches=120 tps=866/s commit=0ms
[inserter] committed=339 batches=140 tps=1005/s commit=0ms
[inserter] committed=379 batches=160 tps=1119/s commit=0ms
[inserter] committed=416 batches=180 tps=1224/s commit=0ms
[inserter] committed=449 batches=200 tps=1314/s commit=0ms
[inserter] committed=497 batches=220 tps=1441/s commit=0ms
[inserter] committed=561 batches=240 tps=1611/s commit=0ms
[inserter] committed=875 batches=260 tps=2408/s commit=0ms
[inserter] committed=928 batches=280 tps=2541/s commit=0ms
[inserter] committed=979 batches=300 tps=2667/s commit=0ms
[inserter] committed=1017 batches=320 tps=2759/s commit=0ms
[inserter] committed=1068 batches=340 tps=2876/s commit=0ms
[inserter] committed=1105 batches=360 tps=2958/s commit=0ms
[inserter] committed=1137 batches=380 tps=3029/s commit=0ms
[inserter] committed=1186 batches=400 tps=3143/s commit=0ms
[inserter] committed=1231 batches=420 tps=3237/s commit=0ms
[inserter] committed=1275 batches=440 tps=3337/s commit=0ms
[inserter] committed=1317 batches=460 tps=3432/s commit=0ms
[inserter] committed=1475 batches=480 tps=3780/s commit=0ms
[inserter] committed=1524 batches=500 tps=3889/s commit=0ms
[inserter] committed=1566 batches=520 tps=3978/s commit=0ms
[inserter] committed=1605 batches=540 tps=4057/s commit=0ms
[inserter] committed=1645 batches=560 tps=4132/s commit=0ms
[inserter] committed=1673 batches=580 tps=4184/s commit=0ms
[inserter] committed=1708 batches=600 tps=4250/s commit=0ms
[inserter] committed=1751 batches=620 tps=4330/s commit=0ms
[inserter] committed=1782 batches=640 tps=4381/s commit=0ms
[inserter] committed=1818 batches=660 tps=4447/s commit=0ms
[inserter] committed=1842 batches=680 tps=4486/s commit=0ms
[inserter] committed=1901 batches=700 tps=4581/s commit=0ms
[inserter] committed=1930 batches=720 tps=4627/s commit=0ms
[inserter] committed=1965 batches=740 tps=4689/s commit=0ms
[inserter] committed=2004 batches=760 tps=4756/s commit=0ms
[inserter] committed=2033 batches=780 tps=4806/s commit=0ms
[inserter] committed=2058 batches=800 tps=4846/s commit=0ms
[inserter] committed=2088 batches=820 tps=4895/s commit=0ms
[inserter] committed=2133 batches=840 tps=4955/s commit=0ms
[inserter] committed=2169 batches=860 tps=5008/s commit=0ms
[inserter] committed=2208 batches=880 tps=5071/s commit=0ms
[inserter] committed=2243 batches=900 tps=5125/s commit=0ms
[inserter] committed=2307 batches=920 tps=5224/s commit=0ms
[inserter] committed=2341 batches=940 tps=5278/s commit=0ms
[inserter] committed=2423 batches=960 tps=5291/s commit=0ms
[inserter] committed=2463 batches=980 tps=5353/s commit=0ms
[inserter] committed=2498 batches=1000 tps=5390/s commit=0ms
[inserter] committed=2532 batches=1020 tps=5438/s commit=0ms
[inserter] committed=2561 batches=1040 tps=5479/s commit=0ms
[inserter] committed=2598 batches=1060 tps=5532/s commit=0ms
[inserter] committed=2637 batches=1080 tps=5586/s commit=0ms
[inserter] committed=2675 batches=1100 tps=5636/s commit=0ms
[inserter] committed=2713 batches=1120 tps=5686/s commit=0ms
[inserter] committed=2781 batches=1140 tps=5757/s commit=0ms
[inserter] committed=2809 batches=1160 tps=5790/s commit=0ms
[inserter] committed=2868 batches=1180 tps=5866/s commit=0ms
[inserter] committed=2906 batches=1200 tps=5915/s commit=0ms
[inserter] committed=2937 batches=1220 tps=5954/s commit=0ms
[inserter] committed=2975 batches=1240 tps=5988/s commit=0ms
[inserter] committed=3019 batches=1260 tps=6046/s commit=0ms
[inserter] committed=3043 batches=1280 tps=6074/s commit=0ms
[inserter] committed=3074 batches=1300 tps=6106/s commit=0ms
[inserter] committed=3117 batches=1320 tps=6157/s commit=0ms
[inserter] committed=3172 batches=1340 tps=6219/s commit=0ms
