[worker] config = WorkerConfig{broker='tcp://localhost:1883', clientId='snr-spike-java-80884', topics=[benchmark/#], qos=1, db='/private/tmp/snr-spike-spike-a-jar.db', batch=500, flush=200ms}
WARNING: A restricted method in java.lang.System has been called
WARNING: java.lang.System::load has been called by mx.rafex.ether.sqlite.jni.SqliteLibraryJni in an unnamed module (file:/Users/rafex/repository/github/rafex/sqlite-native-runtime/sources/spike/worker-java/target/ether-sqlite-mqtt-worker-spike-0.1.0-SNAPSHOT-fat.jar)
WARNING: Use --enable-native-access=ALL-UNNAMED to avoid a warning for callers in this module
WARNING: Restricted methods will be blocked in a future release unless native access is enabled

WARNING: A terminally deprecated method in sun.misc.Unsafe has been called
WARNING: sun.misc.Unsafe::objectFieldOffset has been called by io.netty.util.internal.PlatformDependent0$4 (file:/Users/rafex/repository/github/rafex/sqlite-native-runtime/sources/spike/worker-java/target/ether-sqlite-mqtt-worker-spike-0.1.0-SNAPSHOT-fat.jar)
WARNING: Please consider reporting this to the maintainers of class io.netty.util.internal.PlatformDependent0$4
WARNING: sun.misc.Unsafe::objectFieldOffset will be removed in a future release
[worker] MQTT connected — startup=243ms
[worker] subscribed → benchmark/#
[metrics] elapsed=194s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=5/s last_commit=0ms max_commit=6ms
[metrics] elapsed=196s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=5/s last_commit=0ms max_commit=6ms
[metrics] elapsed=198s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=5/s last_commit=0ms max_commit=6ms
[metrics] elapsed=200s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=5/s last_commit=0ms max_commit=6ms
[metrics] elapsed=202s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=5/s last_commit=0ms max_commit=6ms
[metrics] elapsed=204s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=5/s last_commit=0ms max_commit=6ms
[metrics] elapsed=206s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=5/s last_commit=0ms max_commit=6ms
[metrics] elapsed=208s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=5/s last_commit=0ms max_commit=6ms
[metrics] elapsed=210s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=5/s last_commit=0ms max_commit=6ms
[metrics] elapsed=212s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=5/s last_commit=0ms max_commit=6ms
[metrics] elapsed=214s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=5/s last_commit=0ms max_commit=6ms
[metrics] elapsed=216s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=5/s last_commit=0ms max_commit=6ms
[metrics] elapsed=218s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=5/s last_commit=0ms max_commit=6ms
[metrics] elapsed=220s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=5/s last_commit=0ms max_commit=6ms
[metrics] elapsed=222s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=5/s last_commit=0ms max_commit=6ms
[metrics] elapsed=224s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=6ms
[metrics] elapsed=226s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=6ms
[metrics] elapsed=228s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=6ms
[metrics] elapsed=230s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=6ms
[metrics] elapsed=232s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=6ms
[metrics] elapsed=234s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=6ms
[metrics] elapsed=236s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=6ms
[metrics] elapsed=238s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=6ms
[metrics] elapsed=240s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=6ms
[metrics] elapsed=242s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=6ms
[metrics] elapsed=244s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=6ms
[metrics] elapsed=246s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=6ms
[metrics] elapsed=248s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=6ms
[metrics] elapsed=250s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=6ms
[metrics] elapsed=252s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=6ms
[metrics] elapsed=254s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=6ms
[metrics] elapsed=256s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=6ms
[metrics] elapsed=258s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=6ms
[metrics] elapsed=260s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=6ms
[metrics] elapsed=262s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=6ms
[metrics] elapsed=264s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=6ms
[metrics] elapsed=266s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=6ms
[metrics] elapsed=268s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=6ms
[metrics] elapsed=270s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=6ms
[metrics] elapsed=272s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=6ms
[metrics] elapsed=274s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=6ms
[metrics] elapsed=276s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=6ms
[metrics] elapsed=278s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=6ms
[metrics] elapsed=280s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=6ms
[metrics] elapsed=282s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=6ms
[metrics] elapsed=284s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=4/s last_commit=0ms max_commit=6ms
[metrics] elapsed=286s committed=1000 batches=196 errors=0 dropped=0 qDepth=0 tps=3/s last_commit=0ms max_commit=6ms
